gene_id,gene_short_name,gene_type,chromosome
GENE_000607,Gene_607,protein_coding,chr13
GENE_000608,Gene_608,protein_coding,chr14
GENE_000609,Gene_609,protein_coding,chr15
GENE_000610,Gene_610,protein_coding,chr16
GENE_000611,Gene_611,protein_coding,chr17
GENE_000612,Gene_612,protein_coding,chr18
GENE_000613,Gene_613,protein_coding,chr19
GENE_000614,Gene_614,protein_coding,chr20
GENE_000615,Gene_615,protein_coding,chr21
GENE_000616,Gene_616,protein_coding,chr22
GENE_000617,Gene_617,protein_coding,chr1
GENE_000618,Gene_618,protein_coding,chr2
GENE_000619,Gene_619,protein_coding,chr3
GENE_000620,Gene_620,protein_coding,chr4
GENE_000621,Gene_621,protein_coding,chr5
GENE_000622,Gene_622,protein_coding,chr6
GENE_000623,Gene_623,protein_coding,chr7
GENE_000624,Gene_624,protein_coding,chr8
GENE_000625,Gene_625,protein_coding,chr9
GENE_000626,Gene_626,protein_coding,chr10
GENE_000627,Gene_627,protein_coding,chr11
GENE_000628,Gene_628,protein_coding,chr12
GENE_000629,Gene_629,protein_coding,chr13
GENE_000630,Gene_630,protein_coding,chr14
GENE_000631,Gene_631,protein_coding,chr15
GENE_000632,Gene_632,protein_coding,chr16
GENE_000633,Gene_633,protein_coding,chr17
GENE_000634,Gene_634,protein_coding,chr18
GENE_000635,Gene_635,protein_coding,chr19
GENE_000636,Gene_636,protein_coding,chr20
GENE_000637,Gene_637,protein_coding,chr21
GENE_000638,Gene_638,protein_coding,chr22
GENE_000639,Gene_639,protein_coding,chr1
GENE_000640,Gene_640,protein_coding,chr2
GENE_000641,Gene_641,protein_coding,chr3
GENE_000642,Gene_642,protein_coding,chr4
GENE_000643,Gene_643,protein_coding,chr5
GENE_000644,Gene_644,protein_coding,chr6
GENE_000645,Gene_645,protein_coding,chr7
GENE_000646,Gene_646,protein_coding,chr8
GENE_000647,Gene_647,protein_coding,chr9
GENE_000648,Gene_648,protein_coding,chr10
GENE_000649,Gene_649,protein_coding,chr11
GENE_000650,Gene_650,protein_coding,chr12
GENE_000651,Gene_651,protein_coding,chr13
GENE_000652,Gene_652,protein_coding,chr14
GENE_000653,Gene_653,protein_coding,chr15
GENE_000654,Gene_654,protein_coding,chr16
GENE_000655,Gene_655,protein_coding,chr17
GENE_000656,Gene_656,protein_coding,chr18
GENE_000657,Gene_657,protein_coding,chr19
GENE_000658,Gene_658,protein_coding,chr20
GENE_000659,Gene_659,protein_coding,chr21
GENE_000660,Gene_660,protein_coding,chr22
GENE_000661,Gene_661,protein_coding,chr1
GENE_000662,Gene_662,protein_coding,chr2
GENE_000663,Gene_663,protein_coding,chr3
GENE_000664,Gene_664,protein_coding,chr4
GENE_000665,Gene_665,protein_coding,chr5
GENE_000666,Gene_666,protein_coding,chr6
GENE_000667,Gene_667,protein_coding,chr7
GENE_000668,Gene_668,protein_coding,chr8
GENE_000669,Gene_669,protein_coding,chr9
GENE_000670,Gene_670,protein_coding,chr10
GENE_000671,Gene_671,protein_coding,chr11
GENE_000672,Gene_672,protein_coding,chr12
GENE_000673,Gene_673,protein_coding,chr13
GENE_000674,Gene_674,protein_coding,chr14
GENE_000675,Gene_675,protein_coding,chr15
GENE_000676,Gene_676,protein_coding,chr16
GENE_000677,Gene_677,protein_coding,chr17
GENE_000678,Gene_678,protein_coding,chr18
GENE_000679,Gene_679,protein_coding,chr19
GENE_000680,Gene_680,protein_coding,chr20
GENE_000681,Gene_681,protein_coding,chr21
GENE_000682,Gene_682,protein_coding,chr22
GENE_000683,Gene_683,protein_coding,chr1
GENE_000684,Gene_684,protein_coding,chr2
GENE_000685,Gene_685,protein_coding,chr3
GENE_000686,Gene_686,protein_coding,chr4
GENE_000687,Gene_687,protein_coding,chr5
GENE_000688,Gene_688,protein_coding,chr6
GENE_000689,Gene_689,protein_coding,chr7
GENE_000690,Gene_690,protein_coding,chr8
GENE_000691,Gene_691,protein_coding,chr9
GENE_000692,Gene_692,protein_coding,chr10
GENE_000693,Gene_693,protein_coding,chr11
GENE_000694,Gene_694,protein_coding,chr12
GENE_000695,Gene_695,protein_coding,chr13
GENE_000696,Gene_696,protein_coding,chr14
GENE_000697,Gene_697,protein_coding,chr15
GENE_000698,Gene_698,protein_coding,chr16
GENE_000699,Gene_699,protein_coding,chr17
GENE_000700,Gene_700,protein_coding,chr18
GENE_000701,Gene_701,protein_coding,chr19
GENE_000702,Gene_702,protein_coding,chr20
GENE_000703,Gene_703,protein_coding,chr21
GENE_000704,Gene_704,protein_coding,chr22
GENE_000705,Gene_705,protein_coding,chr1
GENE_000706,Gene_706,protein_coding,chr2
GENE_000707,Gene_707,protein_coding,chr3
GENE_000708,Gene_708,protein_coding,chr4
GENE_000709,Gene_709,protein_coding,chr5
GENE_000710,Gene_710,protein_coding,chr6
GENE_000711,Gene_711,protein_coding,chr7
GENE_000712,Gene_712,protein_coding,chr8
GENE_000713,Gene_713,protein_coding,chr9
GENE_000714,Gene_714,protein_coding,chr10
GENE_000715,Gene_715,protein_coding,chr11
GENE_000716,Gene_716,protein_coding,chr12
GENE_000717,Gene_717,protein_coding,chr13
GENE_000718,Gene_718,protein_coding,chr14
GENE_000719,Gene_719,protein_coding,chr15
GENE_000720,Gene_720,protein_coding,chr16
GENE_000721,Gene_721,protein_coding,chr17
GENE_000722,Gene_722,protein_coding,chr18
GENE_000723,Gene_723,protein_coding,chr19
GENE_000724,Gene_724,protein_coding,chr20
GENE_000725,Gene_725,protein_coding,chr21
GENE_000726,Gene_726,protein_coding,chr22
GENE_000727,Gene_727,protein_coding,chr1
GENE_000728,Gene_728,protein_coding,chr2
GENE_000729,Gene_729,protein_coding,chr3
GENE_000730,Gene_730,protein_coding,chr4
GENE_000731,Gene_731,protein_coding,chr5
GENE_000732,Gene_732,protein_coding,chr6
GENE_000733,Gene_733,protein_coding,chr7
GENE_000734,Gene_734,protein_coding,chr8
GENE_000735,Gene_735,protein_coding,chr9
GENE_000736,Gene_736,protein_coding,chr10
GENE_000737,Gene_737,protein_coding,chr11
GENE_000738,Gene_738,protein_coding,chr12
GENE_000739,Gene_739,protein_coding,chr13
GENE_000740,Gene_740,protein_coding,chr14
GENE_000741,Gene_741,protein_coding,chr15
GENE_000742,Gene_742,protein_coding,chr16
GENE_000743,Gene_743,protein_coding,chr17
GENE_000744,Gene_744,protein_coding,chr18
GENE_000745,Gene_745,protein_coding,chr19
GENE_000746,Gene_746,protein_coding,chr20
GENE_000747,Gene_747,protein_coding,chr21
GENE_000748,Gene_748,protein_coding,chr22
GENE_000749,Gene_749,protein_coding,chr1
GENE_000750,Gene_750,protein_coding,chr2
GENE_000751,Gene_751,protein_coding,chr3
GENE_000752,Gene_752,protein_coding,chr4
GENE_000753,Gene_753,protein_coding,chr5
GENE_000754,Gene_754,protein_coding,chr6
GENE_000755,Gene_755,protein_coding,chr7
GENE_000756,Gene_756,protein_coding,chr8
GENE_000757,Gene_757,protein_coding,chr9
GENE_000758,Gene_758,protein_coding,chr10
GENE_000759,Gene_759,protein_coding,chr11
GENE_000760,Gene_760,protein_coding,chr12
GENE_000761,Gene_761,protein_coding,chr13
GENE_000762,Gene_762,protein_coding,chr14
GENE_000763,Gene_763,protein_coding,chr15
GENE_000764,Gene_764,protein_coding,chr16
GENE_000765,Gene_765,protein_coding,chr17
GENE_000766,Gene_766,protein_coding,chr18
GENE_000767,Gene_767,protein_coding,chr19
GENE_000768,Gene_768,protein_coding,chr20
GENE_000769,Gene_769,protein_coding,chr21
GENE_000770,Gene_770,protein_coding,chr22
GENE_000771,Gene_771,protein_coding,chr1
GENE_000772,Gene_772,protein_coding,chr2
GENE_000773,Gene_773,protein_coding,chr3
GENE_000774,Gene_774,protein_coding,chr4
GENE_000775,Gene_775,protein_coding,chr5
GENE_000776,Gene_776,protein_coding,chr6
GENE_000777,Gene_777,protein_coding,chr7
GENE_000778,Gene_778,protein_coding,chr8
GENE_000779,Gene_779,protein_coding,chr9
GENE_000780,Gene_780,protein_coding,chr10
GENE_000781,Gene_781,protein_coding,chr11
GENE_000782,Gene_782,protein_coding,chr12
GENE_000783,Gene_783,protein_coding,chr13
GENE_000784,Gene_784,protein_coding,chr14
GENE_000785,Gene_785,protein_coding,chr15
GENE_000786,Gene_786,protein_coding,chr16
GENE_000787,Gene_787,protein_coding,chr17
GENE_000788,Gene_788,protein_coding,chr18
GENE_000789,Gene_789,protein_coding,chr19
GENE_000790,Gene_790,protein_coding,chr20
GENE_000791,Gene_791,protein_coding,chr21
GENE_000792,Gene_792,protein_coding,chr22
GENE_000793,Gene_793,protein_coding,chr1
GENE_000794,Gene_794,protein_coding,chr2
GENE_000795,Gene_795,protein_coding,chr3
GENE_000796,Gene_796,protein_coding,chr4
GENE_000797,Gene_797,protein_coding,chr5
GENE_000798,Gene_798,protein_coding,chr6
GENE_000799,Gene_799,protein_coding,chr7
GENE_000800,Gene_800,protein_coding,chr8
GENE_000801,Gene_801,protein_coding,chr9
GENE_000802,Gene_802,protein_coding,chr10
GENE_000803,Gene_803,protein_coding,chr11
GENE_000804,Gene_804,protein_coding,chr12
GENE_000805,Gene_805,protein_coding,chr13
